,user activity,env brightness,images,theme,layout,font size,p_score,i_score,r_score,score,output
0,STILL,5.0,withImages,dark-theme,largeCards,small-font,1,1,1,3,0
1,STILL,5.0,withImages,dark-theme,largeCards,small-font,1,1,1,3,0
2,STILL,5.0,withImages,dark-theme,largeCards,large-font,1,2,1,4,0
3,STILL,5.0,withImages,dark-theme,largeCards,large-font,1,2,1,4,0
4,STILL,5.0,withImages,dark-theme,largeCards,large-font,1,2,1,4,0
5,ON_FOOT,30.0,withImages,light-theme,largeCards,small-font,2,2,2,6,1
6,STILL,8.0,withImages,dark-theme,xLargeCards,small-font,2,2,2,6,1
7,STILL,8.0,withImages,dark-theme,xLargeCards,small-font,2,2,2,6,1
8,STILL,206.0,withImages,dark-theme,xLargeCards,small-font,1,2,1,4,0
9,STILL,223.0,withImages,dark-theme,xLargeCards,small-font,1,2,2,5,0
10,STILL,182.0,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
11,STILL,194.0,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
12,STILL,97.0,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
13,STILL,102.0,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
14,STILL,90.0,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
15,STILL,0.0,withImages,dark-theme,xLargeCards,small-font,2,2,2,6,1
16,STILL,0.0,withImages,dark-theme,xLargeCards,large-font,-1,0,0,-1,0
17,STILL,0.0,withImages,dark-theme,largeCards,large-font,-1,1,-1,-1,0
18,ON_FOOT,13.0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
19,ON_FOOT,3.0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
20,ON_FOOT,6.0,withImages,light-theme,largeCards,small-font,2,0,0,2,0
21,ON_FOOT,0.0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
22,ON_FOOT,0.0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
23,STILL,0.0,withImages,dark-theme,largeCards,small-font,1,1,1,3,0
24,STILL,0.0,withImages,dark-theme,largeCards,small-font,1,1,2,4,0
25,STILL,0.0,withImages,dark-theme,xLargeCards,small-font,1,1,1,3,0
26,STILL,222.0,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
27,STILL,208.0,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
28,STILL,70.0,withImages,light-theme,xLargeCards,large-font,0,1,0,1,0
29,STILL,26.0,withImages,light-theme,largeCards,small-font,2,2,2,6,1
30,STILL,26.0,withImages,light-theme,largeCards,small-font,2,2,2,6,1
31,STILL,26.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
32,STILL,12.0,withImages,dark-theme,xLargeCards,large-font,1,1,2,4,0
33,STILL,0.0,withImages,dark-theme,xLargeCards,large-font,1,1,1,3,0
34,STILL,3.0,withImages,dark-theme,xLargeCards,large-font,1,1,1,3,0
35,STILL,51.0,withImages,dark-theme,xLargeCards,small-font,2,1,2,5,0
36,IN_VEHICLE,19.0,withImages,light-theme,largeCards,large-font,2,1,2,5,0
37,IN_VEHICLE,13.0,withImages,light-theme,xLargeCards,large-font,-1,0,0,-1,0
38,STILL,17.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
39,STILL,16.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
40,STILL,69.0,withImages,light-theme,largeCards,large-font,1,2,2,5,0
41,STILL,104.0,withImages,dark-theme,xLargeCards,large-font,2,2,1,5,0
42,ON_FOOT,0.0,withImages,dark-theme,xLargeCards,large-font,2,1,2,5,0
43,ON_FOOT,19.0,withImages,light-theme,largeCards,small-font,-1,-1,-2,-4,0
44,IN_VEHICLE,6.0,withImages,light-theme,xLargeCards,small-font,0,1,-1,0,0
45,STILL,0.0,withImages,light-theme,xLargeCards,small-font,-1,-1,1,-1,0
46,STILL,0.0,withImages,dark-theme,xLargeCards,large-font,2,1,2,5,0
47,STILL,0.0,withImages,dark-theme,xLargeCards,small-font,2,2,1,5,0
48,STILL,0.0,withImages,dark-theme,xLargeCards,small-font,2,2,2,6,1
49,STILL,4.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
50,STILL,51.0,withImages,light-theme,largeCards,small-font,2,1,1,4,0
51,STILL,32.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
52,STILL,21.0,withImages,dark-theme,largeCards,large-font,2,2,1,5,0
53,STILL,53.0,withImages,light-theme,largeCards,small-font,2,2,2,6,1
54,STILL,55.0,withImages,light-theme,largeCards,small-font,2,2,2,6,1
55,STILL,14.0,withImages,light-theme,xLargeCards,large-font,2,1,2,5,0
56,STILL,38.0,withImages,dark-theme,largeCards,large-font,1,1,2,4,0
57,STILL,16.0,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
58,STILL,17.0,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
59,STILL,27.0,withImages,light-theme,largeCards,small-font,1,1,1,3,0
60,STILL,17.0,withImages,light-theme,largeCards,small-font,1,1,1,3,0
61,STILL,0.0,withImages,dark-theme,xLargeCards,small-font,2,1,1,4,0
62,STILL,0.0,withImages,dark-theme,xLargeCards,large-font,2,2,1,5,0
63,STILL,9.0,withImages,dark-theme,largeCards,large-font,1,1,2,4,0
64,STILL,26.0,withImages,dark-theme,largeCards,large-font,1,2,1,4,0
65,STILL,15.0,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
66,STILL,14.0,withImages,light-theme,xLargeCards,small-font,1,1,2,4,0
